@relation donations

@attribute sequence_number   numeric
@attribute customer_id       numeric
@attribute 2008_ospital      numeric
@attribute 2009_Q1_hospital  numeric
@attribute 2009_Q2_hospital  numeric
@attribute 2009_Q3_hospital  numeric
@attribute 2009_Q4_hospital  numeric
@attribute mail_campaigns    numeric
@attribute phone_campaigns   numeric
@attribute email_campaigns   numeric
@attribute american_cancer   numeric
@attribute red_cross         numeric
@attribute ms_society        numeric
@attribute american_heart    numeric
@attribute save_the_children numeric
@attribute world_food        numeric
@attribute bloomberg         {0, 1}
@attribute better_home       {0, 1}
@attribute money             {0, 1}
@attribute new_yorker        {0, 1}
@attribute field_and_stream  {0, 1}
@attribute pc_world          {0, 1}
@attribute rolling_stone     {0, 1}
@attribute car               {0, 1}
@attribute class             {1, 2, 3, 4, 5, 6}

@data
1221,5,2,1,2,3,0,2,1,1,45,73,9,38,53,36,1,0,0,0,0,0,1,1,2
1222,131,91,82,126,101,108,2,0,2,7,40,27,6,49,13,0,1,0,0,0,0,0,1,4
1223,30,39,26,25,40,7,2,2,0,31,5,0,28,18,17,1,0,1,1,1,0,0,0,3
1224,35,48,48,48,26,40,0,1,2,64,28,36,44,13,67,0,0,1,0,1,0,0,1,3
1225,17,98,33,12,63,0,2,1,0,25,18,12,13,27,48,1,0,1,0,0,1,0,1,3
1226,0,122,112,138,76,139,0,2,2,5,5,5,1,4,3,0,1,0,1,0,1,0,1,4
1227,39,92,83,11,87,89,2,2,0,26,0,23,14,2,7,1,0,1,0,1,1,1,0,3
1228,140,176,34,10,172,117,2,1,2,0,0,0,8,8,0,1,1,0,1,0,1,1,1,4
1229,9,6,125,9,66,47,2,0,1,0,14,2,0,16,15,1,1,1,1,0,0,0,0,3
1230,12,11,1,4,13,15,0,2,2,0,23,29,55,63,68,0,1,0,1,1,1,0,0,3
1231,32,32,2,12,27,3,1,1,0,8,6,28,17,18,26,0,1,1,0,1,0,0,1,3
1232,156,40,129,154,118,125,0,1,2,2,40,41,33,23,30,1,1,1,1,0,0,0,0,4
1233,44,0,28,54,93,80,0,0,0,9,1,7,8,7,5,0,0,1,0,0,1,1,1,3
1234,29,63,61,6,4,6,0,1,1,0,4,4,4,0,0,0,1,0,0,0,1,0,1,3
1235,27,7,65,56,61,19,1,2,2,19,12,9,5,16,13,1,0,0,0,1,0,1,1,3
1236,170,124,14,90,197,163,0,0,0,68,17,17,17,85,0,0,0,1,1,0,0,1,0,4
1237,5,26,14,1,12,31,2,0,2,3,6,1,17,14,11,0,1,1,0,1,0,0,0,3
1238,17,103,122,143,62,36,2,1,0,52,22,6,19,27,6,0,0,0,1,0,1,1,1,3
1239,6,17,32,36,39,21,2,2,1,40,40,40,20,20,20,0,0,1,0,0,0,0,1,3
1240,1,7,10,0,20,15,1,2,2,8,4,8,8,4,8,0,0,1,0,0,0,1,0,3
1241,56,70,16,0,17,47,2,2,2,16,22,28,28,34,13,0,1,1,0,0,1,0,0,3
1242,17,43,23,48,40,11,2,2,1,48,35,50,8,3,37,0,0,0,0,1,1,1,1,3
1243,79,44,53,68,96,11,2,1,2,15,6,2,7,11,14,0,1,1,1,1,1,1,0,3
1244,52,136,33,36,94,120,2,1,2,41,94,78,34,66,22,1,1,1,1,0,1,0,0,3
1245,29,0,1,12,4,39,0,1,2,6,7,3,2,19,35,0,1,0,0,1,0,0,1,3
1246,8,129,142,112,107,28,2,2,0,13,14,8,10,28,12,0,0,1,1,1,0,0,1,4
1247,42,16,15,3,22,17,2,0,2,9,17,41,38,12,73,1,0,1,1,1,1,0,1,3
1248,138,71,84,62,130,157,0,1,1,1,6,0,10,9,2,1,0,0,1,0,0,1,1,4
1249,77,53,137,156,100,125,2,2,2,51,32,30,11,41,7,1,1,1,0,0,1,0,1,4
1250,106,23,62,108,57,35,2,1,2,8,3,17,14,3,18,0,0,0,1,1,1,1,1,3
1251,46,23,48,54,40,31,1,2,0,29,1,30,25,19,11,0,0,0,0,1,0,0,0,3
1252,10,12,5,15,18,26,1,2,0,8,4,6,8,6,1,0,0,1,1,0,0,1,1,3
1253,192,205,53,126,64,70,1,1,1,19,15,27,10,23,8,0,1,0,1,1,1,1,1,4
1254,108,138,59,12,195,123,2,0,1,1,2,1,1,0,2,0,0,0,0,0,1,1,0,4
1255,35,32,40,53,51,26,2,2,1,11,4,93,12,2,90,1,1,0,0,0,1,1,1,3
1256,91,43,38,8,150,60,2,0,2,2,23,5,27,15,20,0,1,0,0,0,0,0,1,3
1257,109,23,84,116,103,59,2,1,1,2,64,34,34,78,67,0,1,0,0,0,0,0,0,3
1258,16,9,9,0,34,16,1,2,2,33,16,14,15,30,25,0,0,1,0,1,0,1,0,3
1259,9,32,42,22,46,11,1,1,1,26,13,97,99,75,77,0,0,0,1,1,0,1,1,3
1260,94,208,219,69,216,106,1,2,2,0,38,45,26,15,22,0,0,0,0,1,1,1,0,4
1261,8,8,5,4,5,3,2,0,0,31,4,10,22,16,5,0,1,0,1,1,0,1,0,2
1262,6,9,0,11,13,14,2,0,0,33,41,39,23,45,13,0,1,1,0,0,1,1,0,3
1263,14,7,10,1,22,17,2,2,1,15,36,42,44,34,56,0,1,0,0,1,1,1,1,3
1264,0,17,7,16,8,3,2,2,0,38,38,57,38,133,76,0,0,1,1,1,0,1,0,3
1265,16,3,9,3,17,4,0,2,0,13,25,23,2,19,18,1,1,1,1,0,0,1,0,3
1266,137,191,128,145,202,213,0,0,1,33,66,33,81,75,27,1,0,0,1,0,0,1,1,5
1267,103,135,169,86,52,158,0,0,1,49,8,45,61,22,42,0,0,0,0,0,0,0,1,4
1268,11,71,46,19,61,7,1,2,0,51,67,1,31,76,27,0,1,0,0,0,1,1,1,3
1269,40,32,17,15,12,1,0,0,0,66,72,75,84,80,71,1,1,1,0,1,1,1,0,3
1270,124,54,61,47,77,122,2,0,1,12,15,4,18,2,24,0,1,1,0,1,1,0,1,3
1271,138,33,171,61,132,42,1,0,2,8,0,13,4,12,4,1,0,0,0,0,1,1,0,4
1272,16,9,18,25,2,29,0,0,2,4,6,15,23,5,2,1,1,0,0,1,1,1,0,3
1273,32,128,21,170,163,17,0,2,2,18,26,8,19,27,20,1,1,0,0,0,1,0,1,4
1274,223,44,89,91,175,168,0,2,1,35,56,19,20,39,61,1,0,0,0,0,1,1,0,4
1275,188,86,68,80,93,8,2,1,1,0,6,6,5,5,2,1,0,1,0,0,0,0,1,4
1276,21,84,167,133,15,106,1,0,2,45,33,20,13,0,10,1,1,1,0,1,0,1,1,4
1277,99,63,56,67,40,75,2,1,1,9,20,0,13,15,14,0,0,0,1,0,1,1,0,3
1278,122,30,120,145,109,125,2,2,2,41,43,37,9,54,55,1,0,0,0,1,0,0,0,4
1279,43,81,31,55,1,102,2,2,1,38,91,70,51,67,54,0,0,1,0,0,0,1,1,3
1280,28,134,105,181,99,181,1,0,1,27,29,5,29,27,34,1,0,0,0,1,0,1,0,4
1281,36,73,75,24,36,27,0,1,1,33,30,39,48,48,9,0,1,0,1,0,0,0,1,3
1282,59,29,141,1,112,50,1,1,0,54,47,25,2,70,5,1,1,1,0,0,1,0,1,3
1283,45,14,14,102,141,95,0,2,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,3
1284,82,93,22,149,157,220,0,0,2,24,6,33,16,30,22,1,1,0,1,0,1,1,1,4
1285,39,33,7,25,23,51,0,0,2,0,9,3,5,6,8,0,0,1,0,1,1,1,0,3
1286,5,37,49,75,99,44,1,1,2,51,28,2,23,55,13,0,0,0,1,1,1,1,0,3
1287,98,131,201,9,189,15,2,2,0,30,4,15,29,16,28,1,0,0,0,1,1,1,1,4
1288,17,25,30,78,3,14,0,1,2,62,76,73,72,3,92,0,0,0,1,0,0,0,1,3
1289,5,32,0,12,9,4,0,1,1,32,56,13,27,13,5,1,1,0,1,0,1,1,1,3
1290,45,49,134,75,7,80,2,2,0,11,9,4,36,42,43,1,0,1,0,0,1,0,1,3
1291,114,140,47,232,225,213,1,1,2,61,25,97,64,29,47,0,1,1,1,0,0,1,0,4
1292,23,72,45,55,65,48,0,0,1,0,4,13,22,3,3,1,1,1,1,1,0,0,1,3
1293,41,63,14,65,69,79,1,1,1,4,2,1,19,4,32,0,1,1,1,1,0,1,1,3
1294,1,56,20,74,53,69,2,0,2,25,6,21,3,33,29,1,1,0,1,1,1,1,1,3
1295,177,8,92,71,126,59,0,2,1,2,3,4,26,50,43,1,0,0,0,0,1,1,1,4
1296,28,62,17,69,49,63,0,2,2,59,49,37,17,5,33,1,1,1,0,1,1,0,0,3
1297,2,1,2,2,2,2,1,2,0,27,29,30,14,1,6,0,0,1,1,0,1,1,0,2
1298,10,13,14,14,4,1,0,1,2,48,44,13,63,19,16,0,1,1,0,0,1,0,0,3
1299,50,67,66,123,135,96,1,1,0,79,35,72,55,26,7,1,1,0,1,0,1,0,0,4
1300,196,41,79,201,199,15,0,2,1,14,12,32,32,39,24,1,0,1,0,1,0,1,0,4
1301,51,58,15,37,43,33,2,1,2,59,17,59,9,26,0,1,1,1,0,1,1,0,0,3
1302,28,2,31,70,95,93,0,1,2,32,53,13,60,55,73,1,1,0,1,1,0,0,0,3
1303,78,31,103,135,93,85,0,1,0,1,0,7,6,7,3,0,1,1,1,0,0,1,0,4
1304,91,19,90,130,0,104,2,1,2,19,24,1,33,30,50,1,0,1,0,1,1,0,0,3
1305,24,49,71,59,68,80,1,0,2,16,8,9,24,13,0,1,0,1,1,1,0,0,0,3
1306,50,54,18,33,61,10,2,1,0,55,62,15,49,17,41,0,0,1,0,1,1,1,1,3
1307,30,31,49,63,9,53,1,0,2,32,43,54,37,6,67,1,1,0,1,1,1,0,0,3
1308,12,88,15,66,47,21,1,1,2,91,65,143,130,26,52,1,1,0,0,0,0,0,1,3
1309,80,205,143,198,164,147,2,0,2,27,3,23,8,28,17,0,0,0,0,1,0,0,0,4
1310,40,62,5,11,47,72,0,1,1,29,24,10,28,6,23,1,1,0,1,0,0,1,0,3
1311,30,11,28,23,21,7,2,0,0,31,40,25,10,26,4,0,0,0,1,0,0,0,0,3
1312,76,122,51,17,91,5,1,0,2,59,38,41,13,35,13,1,1,0,0,0,0,1,1,3
1313,54,123,103,109,92,73,2,1,2,3,0,3,2,3,3,1,0,0,0,0,0,1,1,4
1314,40,161,112,88,113,193,0,0,0,17,21,24,11,27,5,0,1,1,0,0,1,1,0,4
1315,68,15,58,48,61,50,2,0,2,51,38,37,3,12,44,0,1,0,1,1,1,0,1,3
1316,3,9,7,11,11,10,1,1,2,50,27,47,4,24,31,0,1,1,1,0,0,1,1,3
1317,43,23,7,33,55,42,2,1,1,13,14,16,9,9,11,0,0,1,1,1,1,0,0,3
1318,40,6,55,41,46,39,2,2,1,16,39,51,21,9,17,1,0,1,0,1,0,1,0,3
1319,35,75,98,1,58,49,1,0,1,40,87,67,69,11,82,1,1,1,0,1,1,1,0,3
1320,5,45,68,52,23,7,2,2,0,9,8,2,0,1,4,0,1,0,0,1,0,1,0,3
1321,21,50,26,56,139,87,0,2,2,8,5,21,16,3,15,1,1,1,0,0,0,1,0,3
1322,67,20,64,61,69,21,1,1,0,35,54,31,38,50,6,0,1,1,1,0,0,0,1,3
1323,33,94,80,41,16,121,1,2,2,16,18,50,9,11,47,1,1,0,1,0,1,1,1,3
1324,24,10,7,7,17,15,1,2,1,20,14,75,21,77,45,0,0,0,0,0,0,0,1,3
1325,39,0,23,43,33,35,2,0,1,31,12,18,0,37,31,1,0,1,0,1,0,1,1,3
1326,150,202,17,210,205,40,0,1,0,73,86,80,64,1,91,0,0,0,0,0,1,0,1,4
1327,43,30,10,6,37,43,2,2,1,43,61,84,23,55,52,1,1,1,0,0,0,1,0,3
1328,7,23,11,12,16,13,1,0,1,22,28,13,36,23,16,1,1,1,1,1,0,0,0,3
1329,22,36,25,20,21,29,1,0,1,36,59,39,19,20,48,1,1,0,0,0,1,0,1,3
1330,199,35,22,74,109,194,0,1,0,7,28,47,7,41,46,0,0,0,0,0,0,0,1,4
1331,38,29,37,30,11,36,1,1,1,27,33,32,23,12,32,0,0,0,0,1,0,1,0,3
1332,15,2,11,29,15,15,0,0,0,84,69,28,89,79,16,1,0,0,0,1,0,0,1,3
1333,65,38,170,136,89,113,2,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,4
1334,107,122,172,64,4,201,1,2,1,0,44,15,33,28,28,0,0,1,1,1,0,0,1,4
1335,88,37,114,152,17,34,2,0,2,13,13,31,18,29,35,1,0,1,1,1,1,1,1,3
1336,31,39,15,96,169,22,1,0,2,87,15,27,41,86,88,0,0,0,0,0,0,1,1,3
1337,48,31,21,24,20,15,0,2,2,66,7,91,91,51,18,1,1,0,1,0,1,0,1,3
1338,5,13,102,62,125,47,2,1,0,80,29,33,19,66,46,1,1,1,1,1,1,1,1,3
1339,143,140,145,79,99,138,2,0,2,10,13,20,1,21,10,0,0,1,0,0,0,0,1,4
1340,24,12,72,12,78,77,2,2,1,6,9,12,13,7,9,0,1,0,0,1,1,1,1,3
1341,14,72,99,94,48,32,1,1,0,48,5,0,34,23,19,0,1,0,1,1,1,0,1,3
1342,9,7,7,3,1,0,1,2,0,3,6,47,46,13,50,0,0,0,0,0,1,0,0,2
1343,170,38,84,48,93,90,2,2,2,14,14,1,3,2,8,0,1,0,1,1,1,1,1,4
1344,161,74,1,12,161,9,2,2,0,1558,798,38,1026,1026,988,1,1,1,0,0,1,0,1,3
1345,134,54,149,105,57,82,0,0,2,0,15,10,8,13,3,1,1,1,0,1,1,0,1,4
1346,20,16,0,14,21,26,1,1,0,0,1,5,4,0,4,1,0,1,0,0,1,0,1,3
1347,29,18,11,241,98,98,0,0,0,22,44,25,10,14,17,1,1,0,1,1,1,1,1,3
1348,10,19,1,33,44,1,1,1,2,12,33,31,17,47,45,1,0,1,0,0,1,1,1,3
1349,14,94,65,35,20,81,0,0,1,15,3,25,9,21,23,0,0,0,1,1,0,1,1,3
1350,95,158,63,45,175,149,0,1,0,15,46,29,5,38,65,1,1,0,0,1,0,1,1,4
1351,108,88,34,13,134,100,0,0,0,29,27,7,16,32,3,1,1,0,0,1,1,1,0,3
1352,23,49,73,81,78,92,1,0,1,44,33,68,18,67,63,1,0,1,0,1,1,0,0,3
1353,6,19,93,79,97,43,0,1,0,37,32,40,34,38,15,1,1,1,1,0,1,0,0,3
1354,26,42,66,30,116,125,1,1,1,9,17,97,78,86,16,0,0,1,1,0,1,0,0,3
1355,18,18,37,52,9,23,0,0,0,41,51,18,32,15,60,1,0,1,1,0,0,0,0,3
1356,58,40,6,93,51,21,2,0,2,31,28,78,58,22,38,1,0,0,0,1,0,0,0,3
1357,119,187,204,157,160,138,1,0,2,31,21,28,3,43,31,1,1,0,1,0,1,1,0,4
1358,6,30,60,174,17,129,2,2,1,32,3,15,25,51,4,1,0,0,1,0,0,1,0,3
1359,14,125,140,42,24,24,2,2,0,52,26,8,58,63,56,0,0,0,0,0,1,1,1,3
1360,74,39,67,68,19,84,0,1,0,22,14,24,8,1,12,1,0,1,1,1,0,0,1,3
1361,42,82,66,54,132,23,2,1,2,31,36,34,26,32,4,1,0,1,1,1,1,1,0,3
1362,36,84,57,47,69,102,0,2,2,29,1,22,20,10,9,0,1,1,0,1,0,0,0,3
1363,87,151,99,151,80,126,2,2,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,4
1364,97,52,1,119,60,32,1,2,0,7,34,56,66,18,2,1,1,0,1,0,0,1,0,3
1365,89,0,1,97,91,69,1,2,0,51,56,37,39,63,88,1,0,0,1,1,0,1,1,3
1366,14,10,9,10,3,4,2,1,2,2,21,52,19,16,1,1,0,1,0,1,0,1,1,3
1367,129,149,194,3,239,14,2,1,2,45,18,10,33,23,18,0,0,0,1,1,1,1,0,4
1368,21,41,49,41,49,27,1,2,1,15,22,12,7,13,7,1,1,0,1,0,0,1,0,3
1369,47,57,0,47,0,49,1,2,2,8,6,7,7,1,8,0,0,1,1,1,1,0,1,3
1370,125,118,149,156,171,31,0,1,1,78,45,4,6,46,7,1,1,0,1,1,0,1,0,4
1371,87,112,153,167,214,206,1,2,1,58,49,38,38,24,44,0,1,0,0,1,1,1,0,4
1372,8,74,89,65,75,12,1,1,1,66,57,5,17,46,42,0,1,1,0,0,0,1,1,3
1373,6,4,0,8,8,5,1,0,0,3,1,0,2,2,6,0,0,0,1,0,0,1,1,2
1374,17,67,72,29,35,6,2,1,0,3,15,14,32,3,31,0,1,1,0,1,1,0,0,3
1375,72,8,29,17,30,53,0,2,1,74,45,54,14,64,47,0,0,1,0,0,0,0,0,3
1376,112,50,7,90,126,3,1,0,1,8,12,7,7,5,10,1,1,1,0,1,0,0,0,3
1377,115,167,114,86,43,135,0,2,1,9,15,7,3,17,14,0,0,0,1,1,0,0,0,4
1378,60,7,22,54,0,78,0,0,0,0,0,1,0,2,2,0,0,1,1,0,1,1,0,3
1379,13,69,39,71,17,34,2,1,2,30,61,31,68,25,45,0,0,0,0,1,1,1,0,3
1380,7,2,13,20,7,22,1,0,0,35,32,30,55,13,38,1,0,1,0,1,1,0,1,3
1381,12,13,29,6,14,20,2,0,2,69,70,42,57,77,53,1,0,0,1,0,1,0,1,3
1382,134,69,61,139,185,45,2,2,0,3,4,1,7,1,0,0,0,0,0,1,0,0,1,4
1383,48,5,6,28,20,41,2,1,2,0,1,2,1,1,3,1,0,0,0,1,1,1,1,3
1384,25,34,166,49,45,138,2,1,0,2,20,8,33,16,36,0,0,1,0,0,0,0,0,3
1385,38,33,11,16,21,1,1,1,2,80,9,86,84,43,94,1,1,0,1,1,1,0,1,3
1386,38,33,45,35,44,59,2,2,1,53,29,9,62,58,12,0,0,1,1,0,0,0,0,3
1387,47,50,8,13,57,26,2,1,2,20,340,60,120,60,0,1,1,0,0,0,1,1,1,3
1388,164,164,96,24,93,78,2,0,1,6,24,19,20,16,14,0,1,1,0,0,1,0,1,4
1389,90,39,27,157,65,117,0,0,0,0,4,2,4,1,2,1,0,0,1,0,1,1,1,3
1390,125,16,21,66,91,41,1,2,1,30,1,5,25,8,15,1,0,1,1,0,0,0,1,3
1391,19,168,91,166,60,136,2,0,0,27,11,23,48,50,11,1,0,0,0,0,0,0,0,4
1392,91,118,23,50,70,79,2,2,0,34,39,49,45,23,8,1,0,1,1,1,1,1,1,3
1393,10,23,4,8,21,10,0,2,2,4,30,28,31,20,5,0,1,1,1,1,1,1,0,3
1394,77,100,148,91,177,87,1,2,0,77,9,70,61,46,64,0,0,1,0,0,1,0,0,4
1395,77,48,59,33,30,34,0,1,1,70,67,18,23,21,69,0,0,1,0,1,1,1,0,3
1396,127,45,79,110,77,121,0,0,0,9,0,12,9,2,22,0,0,0,1,0,0,0,1,4
1397,181,159,25,45,168,26,2,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,4
1398,148,130,15,58,152,56,0,2,0,24,23,33,21,36,16,1,0,0,1,0,0,1,0,4
1399,184,84,168,154,76,203,0,0,1,58,11,73,16,68,77,0,0,1,0,0,0,1,1,4
1400,0,1,1,0,0,0,2,2,2,12,8,4,8,0,9,1,1,0,0,1,0,1,0,2
1401,5,8,9,1,0,11,2,1,2,33,26,25,33,7,13,1,1,0,0,0,0,1,0,2
1402,221,44,117,170,110,223,2,1,0,35,54,55,49,26,47,1,1,1,1,1,1,1,1,4
1403,45,221,200,99,145,96,2,1,2,0,2,3,0,20,14,1,1,0,1,1,1,1,1,4
1404,49,73,17,48,18,12,2,2,0,23,5,30,33,25,9,1,1,0,1,0,1,0,1,3
1405,56,27,7,57,43,45,1,2,1,1,3,11,3,11,0,0,1,1,0,0,0,1,1,3
1406,14,54,71,95,120,86,1,1,0,50,81,40,70,39,54,0,1,0,1,0,0,1,0,3
1407,68,50,103,104,54,49,2,2,2,3,19,26,3,23,21,0,1,0,0,1,1,1,0,3
1408,31,79,27,69,10,14,2,1,2,1,1,0,2,0,0,0,0,0,1,1,0,1,0,3
1409,48,89,91,96,7,17,2,1,2,3,4,7,5,5,2,0,0,0,1,1,1,0,1,3
1410,91,107,120,26,113,37,0,0,2,50,0,46,40,1,78,1,0,1,0,1,0,1,0,3
1411,44,37,9,35,54,72,2,0,0,50,31,1,10,25,20,1,0,0,0,0,0,0,1,3
1412,20,32,8,35,19,9,0,1,2,22,12,17,16,0,27,1,1,1,1,1,0,0,1,3
1413,67,39,96,133,183,141,1,1,1,0,2,8,8,4,9,1,0,0,1,0,1,1,1,4
1414,1,3,3,0,3,0,0,2,1,71,2,48,6,11,10,1,0,0,1,0,1,1,1,2
1415,28,54,69,80,15,17,0,0,1,39,22,0,22,6,15,1,1,1,1,1,1,0,0,3
1416,56,65,25,12,59,10,1,2,0,23,27,8,25,3,26,0,1,1,0,1,1,1,0,3
1417,63,42,9,82,10,83,2,0,0,5,7,38,3,28,36,0,0,1,0,1,0,0,0,3
1418,67,147,52,36,88,103,1,1,2,11,80,64,76,1,62,1,0,1,0,0,0,1,0,3
1419,25,47,46,18,60,46,0,1,2,51,87,77,2,15,35,1,1,0,0,1,1,1,0,3
1420,0,5,7,0,5,10,1,1,2,42,45,67,12,68,11,1,1,1,0,0,1,1,1,2
1421,24,28,12,26,6,18,0,1,0,28,52,8,32,34,21,0,0,1,0,0,1,0,0,3
1422,64,51,69,86,90,79,2,0,1,9,9,17,12,12,17,0,1,1,0,0,0,1,1,3
1423,75,34,68,26,46,57,0,0,0,3,7,6,0,7,6,1,1,1,1,1,0,1,1,3
1424,50,128,3,90,2,52,0,0,2,28,16,17,27,35,21,1,0,1,0,1,1,1,0,3
1425,2,2,0,0,1,0,2,2,0,11,54,18,49,1,19,0,0,0,1,1,0,1,1,2
1426,54,121,144,13,13,197,1,2,0,25,2,10,12,24,12,1,0,1,0,1,1,1,1,4
1427,47,5,7,41,31,71,2,1,1,9,21,14,14,8,13,0,0,0,0,1,1,0,0,3
1428,59,46,88,38,63,93,0,1,1,36,68,2,25,70,52,0,1,0,1,1,1,0,0,3
1429,17,16,21,19,9,21,1,0,1,19,15,33,40,13,31,0,0,0,1,0,0,1,1,3
1430,208,97,204,83,37,34,1,1,2,15,29,6,7,22,19,1,1,1,1,0,1,0,1,4
1431,130,69,124,15,66,12,1,2,1,13,40,22,33,27,25,1,0,1,1,0,0,1,0,3
1432,61,7,32,26,43,0,2,1,2,8,14,10,22,29,27,0,1,0,1,1,0,0,1,3
1433,36,45,32,95,101,28,0,1,0,8,12,7,2,13,12,1,0,0,1,0,0,1,1,3
1434,109,27,22,107,141,87,1,0,1,4,6,12,17,6,20,1,0,0,1,1,1,0,1,3
1435,135,47,121,46,21,79,2,2,1,81,72,3,65,86,35,1,1,1,1,1,0,0,0,3
1436,27,19,3,9,31,31,1,0,2,25,58,0,19,13,21,0,1,0,0,1,0,1,1,3
1437,74,50,42,67,65,94,2,1,2,70,34,47,61,68,68,1,0,1,1,0,1,1,1,3
1438,82,30,63,33,73,74,0,2,0,61,40,33,4,39,25,0,1,0,0,0,0,1,0,3
1439,29,144,16,156,59,80,1,1,1,14,17,6,16,17,16,1,0,0,0,0,1,0,1,3
1440,46,80,94,135,75,80,0,0,0,33,15,14,7,28,31,1,0,1,0,0,0,0,1,4
1441,67,71,48,52,26,41,1,2,2,27,77,34,73,64,15,1,1,0,1,0,1,1,1,3
1442,8,2,5,10,10,14,2,0,2,9,3,10,17,19,1,1,1,0,0,1,0,0,0,2
1443,14,6,33,2,9,47,1,1,2,3,4,29,67,56,4,1,0,1,0,1,0,1,1,3
1444,20,13,4,23,44,60,0,0,1,51,42,22,9,63,50,1,0,1,1,1,0,1,0,3
1445,127,73,152,53,7,0,0,2,0,38,49,6,52,5,7,0,1,1,0,0,1,1,1,3
1446,28,20,47,60,25,7,0,2,2,4,9,8,12,12,7,1,1,1,0,0,0,1,0,3
1447,139,171,215,192,86,44,2,2,1,5,1,12,16,3,13,0,0,0,1,0,0,1,1,4
1448,64,76,3,63,73,17,0,1,2,4,9,4,10,2,5,1,0,0,0,1,0,0,0,3
1449,12,13,11,2,4,11,1,1,2,22,30,48,56,43,86,1,1,1,1,0,0,1,0,3
1450,46,105,59,114,14,18,1,1,0,24,50,34,45,6,36,1,1,1,0,0,0,0,1,3
1451,104,44,41,106,82,134,1,1,0,75,74,81,21,34,78,1,1,0,1,1,1,1,0,4
1452,47,24,167,22,163,37,2,1,1,36,14,13,31,31,21,1,0,0,1,1,0,0,0,3
1453,70,23,180,83,129,151,0,1,2,65,3,30,1,5,14,0,0,1,0,0,0,0,0,4
1454,23,1,5,12,18,11,0,2,1,43,32,40,4,6,9,0,0,0,0,1,0,0,1,3
1455,44,71,137,0,94,18,1,0,0,20,5,18,21,13,13,1,1,0,0,1,0,0,1,3
1456,8,14,11,17,12,2,2,0,0,42,80,6,14,59,71,1,1,1,1,1,1,0,0,3
1457,24,137,152,60,59,50,2,0,1,1,19,22,47,56,24,0,0,0,0,0,1,0,1,3
1458,40,29,60,20,47,70,1,0,0,23,1,22,26,11,36,1,0,0,1,1,0,1,1,3
1459,11,4,11,13,7,4,0,0,2,21,9,11,5,5,6,1,1,1,0,1,0,1,0,3
1460,61,76,94,31,29,78,2,1,1,22,32,50,4,33,16,1,1,0,0,1,1,0,1,3
1461,15,83,37,64,66,55,1,1,2,84,86,9,45,2,42,0,0,0,1,0,0,0,0,3
1462,15,29,75,5,7,75,2,2,0,3,17,13,23,9,0,1,0,0,1,1,1,0,1,3
1463,68,4,31,12,93,2,1,0,1,14,1,13,1,2,10,0,0,0,0,0,0,0,1,3
1464,97,96,36,28,24,65,0,1,1,8,10,4,3,1,1,1,1,0,0,0,1,0,0,3
1465,77,48,71,67,84,136,2,0,1,18,36,27,27,0,9,1,0,0,0,1,0,1,1,3
1466,107,105,27,114,44,117,0,1,1,5,21,42,50,33,56,1,1,0,1,1,0,0,0,4
1467,115,78,7,79,52,140,0,1,1,85,52,12,3,9,14,1,1,1,1,0,1,0,1,3
1468,37,46,36,30,16,25,2,2,1,66,7,12,31,17,18,0,1,0,1,1,1,0,0,3
1469,48,129,129,68,120,109,1,0,0,0,23,32,0,31,8,0,1,1,1,1,0,1,1,4
1470,38,40,36,45,58,1,1,2,1,71,31,65,62,67,23,1,1,1,1,1,0,0,1,3
1471,33,6,14,20,21,29,1,1,1,10,3,5,9,0,7,0,0,0,0,1,0,1,1,3
1472,153,158,30,32,3,71,1,2,2,9,16,12,12,5,15,0,1,1,1,0,0,1,0,3
1473,124,79,161,174,126,91,1,2,1,26,37,5,36,25,35,1,0,1,0,0,1,0,1,4
1474,5,10,7,12,7,7,2,1,1,1,10,18,9,6,34,1,0,0,1,1,0,1,0,2
1475,61,60,30,40,7,44,1,0,2,38,56,51,64,12,20,0,0,1,0,0,0,0,1,3
1476,83,144,62,39,118,140,1,0,0,2,6,7,10,4,6,0,0,0,1,1,1,1,1,4
1477,5,9,24,23,30,6,0,0,2,3,5,7,5,0,5,1,0,0,1,0,1,0,1,3
1478,50,101,155,188,78,148,2,1,0,7,4,4,10,11,1,1,0,1,1,0,0,1,1,4
1479,65,5,19,86,40,63,2,1,2,238,850,34,493,425,0,1,1,0,0,1,0,1,1,3
1480,86,62,0,28,91,10,0,1,0,9,15,25,9,34,4,1,1,1,0,0,1,1,1,3
1481,29,34,28,32,12,10,0,0,1,12,8,0,15,21,21,0,1,1,1,1,0,1,0,3
1482,148,49,19,106,95,100,1,2,1,40,10,55,76,52,88,1,1,1,0,1,1,1,1,4
1483,143,69,197,33,133,202,0,0,0,11,15,7,5,6,2,1,1,0,0,0,1,1,1,4
1484,12,27,27,15,27,5,2,1,0,31,0,6,20,22,0,0,0,0,1,1,0,1,1,3
1485,94,26,60,81,70,69,0,0,2,5,1,12,5,2,10,1,0,0,0,0,0,1,1,3
1486,3,9,3,9,5,1,2,2,1,46,3,40,77,67,66,0,1,1,0,0,1,1,0,2
